longitude,latitude,OBJECTID,IDENTIFICATIE,NAAM,STRAAT,HUISNUMMER,HUISLETTER,HUISNUMMER_TOEVOEGING,POSTCODE,PLAATS,SPORT_SOORT,HOOFDBELEIDSVELD
4.730096769,51.61512143,403,4822RK080.01,Clubhuis HV United Breda,Ganzerik,82,,,4822 RK,Breda,BUI - Handbal,
4.774180409,51.61383704,404,4826AB494.01,Zwembad Wisselaar,Terheijdenseweg,494,,,4826 AB,Breda,BIN - Zwembad,
4.696595799,51.61797586,405,4841KG019.05,Driving range,Weimersedreef,19,,,4841 KG,Prinsenbeek,BUI - Overig,
4.708846754,51.60566189,406,4841EG037.01,Clubhuis Voetbalvereniging Beek Vooruit,Heikantsestraat,37,B,,4841 EG,Prinsenbeek,BUI - Voetbal,
4.79738873,51.55662322,407,4851AT001.04,Tennishal,Jeugdland,1,,,4851 AT,Ulvenhout,BIN - Tennis,
4.741041585,51.60507101,408,4824NB001.02,Kleedkamers Tennisvereniging Haagse Beemden,Kantenbeemd,1,,,4824 NB,Breda,BUI - Tennis,
4.769277635,51.58010853,409,4811PS006.01,Clubhuis Tennisvereniging 't EI,Pieter-Christiaanstraat,6,,,4811 PS,Breda,BUI - Tennis,
4.80222734,51.57700797,410,4834CG285.04,Kleedkamers Voetbalvereniging Baronie,Valkenierslaan,285,,,4834 CG,Breda,BUI - Voetbal,
4.789633614,51.5746392,411,4835AC089.03,Speeltuingebouw,Ploegstraat,89,B,,4835 AC,Breda,BUI - Overig,
4.828216807,51.60756952,412,4847EJ034.02,Clubhuis Voetbalvereniging DIA,Donkerstraat,34,,,4847 EJ,Teteringen,BUI - Voetbal,
4.800109502,51.57698099,413,4834CG285.02,Clubhuis annex tribune  Voetbalvereniging Baronie,Blauwe Kei,1,B,,4834 CG,Breda,BUI - Voetbal,
4.802087221,51.55918155,414,4834SN105.02,Clubhuis  Bré-da-Boules,Charlotte Cuypersdreef,1,,,4834 SR,Breda,BUI - Boules,
4.809366845,51.58410407,415,4817GN085.18,Bouleshal Va- Tout,Nieuwe Inslag,89,,,4817 GN,Breda,BIN - Overig,
4.760693532,51.56921428,416,4837CJ057.03,Trafo,Ruitersboslaan,1950,,TRD,4837 CJ,Breda,BUI - Voetbal,
4.697733277,51.61804857,417,4841KG019.04,Opslagloods,Weimersedreef,19,,,4841 KG,Prinsenbeek,BUI - Overig,
4.80904249,51.58429104,418,4817GN085.14,Clubhuis Boulesvereniging Va-Tout,Nieuwe Inslag,89,,,4817 GN,Breda,BUI - Boules,
4.744848969,51.62407369,419,4823JX004.02,Kleedkamers Voetbalvereniging BSV Boeimeer,Heksendans,4,,,4823 JX,Breda,BUI - Voetbal,
4.774662229,51.6155519,420,4826AB506.01,Kunstijsbaan,Terheijdenseweg,506,,,4826 AB,Breda,BIN - Overig,
4.781862563,51.61284528,421,4826CN046.00,Voormalige gymzaal,Tielrodestraat,46,,,4826 CN,Breda,BIN - Gymzaal,
4.81739938,51.58050444,422,4854TA021.02,Kleedkamers Voetbalvereniging JEKA,Beukenlaan,23,,,4854 TA,Bavel,BUI - Voetbal,
4.697990073,51.61793062,423,4841KG019.06,Berging,Weimersedreef,15,,,4841 KG,Prinsenbeek,BUI - Overig,
4.729322498,51.62275386,424,4823MH069.01,Gymzaal de Kroeten,Moeraszegge,69,,,4823 MH,Breda,BIN - Gymzaal,
4.745569188,51.57627321,425,4813EV045.02,Clubhuis Voetbalvereniging Groen-Wit,Postillonstraat,45,,,4813 EV,Breda,BUI - Voetbal,
4.802480131,51.55974026,426,4834SN105.17,Administratiegebouw annex conciërgewoning,Wolfslaardreef,103,,,4834 SN,Breda,BUI - Zwemmen,
4.802480131,51.55974026,427,4834SN105.05,Administratiegebouw annex conciërgewoning,Wolfslaardreef,101,,,4834 SN,Breda,BUI - Zwemmen,
4.803838668,51.56798193,428,4834KR004.02,Clubhuis tennisvereniging IJpelaar,Trompenburgstraat,4,,,4834 KR,Breda,BUI - Tennis,
4.746365811,51.61061532,429,4824EW000.00,Speeltuingebouw Haagse Beemden,Somerweide,35,,,4824 EW,Breda,BUI - Overig,
4.761078782,51.56404312,430,4837BN026.01,Clubhuis BHBC,Burgemeester de Manlaan,26,,,4837 BN,Breda,BUI - Hockey,
4.729928516,51.61660636,431,4822RK001.05,Horeca Sporthal Haagse Beemden,Ganzerik,1,A,,4822 RK,Breda,BIN - Sporthal,
4.779864674,51.60068882,432,4816AG007.00,Clubhuis Tafeltennisvereniging Belcrum,Kadijkje,7,,,4816 AG,Breda,BIN - Overig,
4.708947155,51.60691361,433,4841EG037.04,Loods Sportpark de Heikant,Heikantsestraat,37,C,,4841 EG,Prinsenbeek,BUI - Overig,
4.709622139,51.60616473,434,4841EG037.02,Kleedkamers Voetbalvereniging Beek Vooruit,Heikantsestraat,37,B,,4841 EG,Prinsenbeek,BUI - Voetbal,
4.789546113,51.57447227,435,4835AC089.04,Toiletgebouw speeltuin,Ploegstraat,89,B,,4835 AC,Breda,BUI - Overig,
