latitude,longitude,year,green_score,livability_score
"51,538887387","4,7963121691",2018,48.0,2.4729473940832984
"51,538898707","4,7969022614",2015,35.2,2.4729473940832984
"51,538992869","4,7967492505",2015,47.666666666666664,2.4729473940832984
"51,539102136","4,7966071297",2015,59.8,2.4729473940832984
"51,539233118","4,7964878148",2015,56.666666666666664,2.4729473940832984
"51,5393964","4,7964210613",2015,55.0,2.4729473940832984
"51,539571505","4,7964240975",2015,49.5,2.4729473940832984
"51,53972935","4,796506009",2015,43.833333333333336,2.4729473940832984
"51,539729741","4,7975685044",2009,45.75,2.4729473940832984
"51,539860202","4,7966272402",2015,48.2,2.4513337241258144
"51,539879708","4,7974695675",2009,48.2,2.4513337241258144
"51,539975735","4,7967648297",2015,47.2,2.4513337241258144
"51,540038742","4,7973903595",2009,48.666666666666664,2.4513337241258144
"51,540091268","4,7969024192",2015,52.833333333333336,2.4513337241258144
"51,540211492","4,7973410023",2009,51.6,2.4513337241258144
"51,540212043","4,7970340271",2015,54.0,2.4513337241258144
"51,540330425","4,7972929403",2009,43.166666666666664,2.4513337241258144
"51,540372072","4,7971121759",2015,39.0,2.4513337241258144
"51,54043","4,79713",2015,41.833333333333336,2.4513337241258144
"51,540531284","4,7969816074",2015,34.6,2.4513337241258144
"51,540546696","4,7972666048",2009,45.666666666666664,2.4513337241258144
"51,540632568","4,7968332147",2015,32.333333333333336,2.4513337241258144
"51,540663392","4,7974032097",2009,46.333333333333336,2.4513337241258144
"51,5407","4,79521",2009,22.166666666666668,2.4104636349095427
"51,540733852","4,7966848221",2015,38.166666666666664,2.406331614597969
"51,540780087","4,7975398145",2009,47.666666666666664,2.406331614597969
"51,540801711","4,7950619001",2009,25.4,2.4104636349095427
"51,540835135","4,7965364295",2015,38.5,2.406331614597969
"51,54086","4,7965",2015,37.166666666666664,2.406331614597969
"51,540896402","4,7949096985",2009,18.5,2.4104636349095427
"51,540896783","4,7976764194",2009,41.333333333333336,2.440076211998742
"51,540962266","4,7963522825",2015,40.166666666666664,2.406331614597969
"51,541013479","4,7978130242",2009,39.166666666666664,2.440076211998742
"51,54101659","4,7965880818",2009,33.166666666666664,2.406331614597969
"51,541064532","4,796204565",2015,31.5,2.406331614597969
"51,541120969","4,7948269425",2018,15.8,2.4104636349095427
"51,54113","4,79611",2015,26.4,2.4104636349095427
"51,541130175","4,797949629",2009,51.5,2.440076211998742
"51,541130894","4,7961457673",2015,28.166666666666668,2.4104636349095427
"51,541135384","4,7963253742",2009,30.8,2.406331614597969
"51,541139875","4,7965049811",2009,31.5,2.406331614597969
"51,54117318","4,7966761636",2009,28.4,2.406331614597969
"51,54118","4,79668",2009,30.6,2.406331614597969
"51,54119457","4,7948139786",2018,18.5,2.4104636349095427
"51,541213104","4,7959507904",2015,23.4,2.4104636349095427
"51,541234264","4,7980958999",2009,52.166666666666664,2.440076211998742
"51,541260463","4,7968404944",2009,25.666666666666668,2.406331614597969
"51,54126834","4,7968782925",2009,25.6,2.406331614597969
"51,541278094","4,7977227478",2009,53.166666666666664,2.440076211998742
"51,541286325","4,7947984812",2018,17.0,2.4104636349095427
"51,541317","4,7957295",2015,23.4,2.4104636349095427
"51,541335897","4,7982440536",2009,40.333333333333336,2.440076211998742
"51,541350793","4,7955530438",2018,26.666666666666668,2.4104636349095427
"51,541357361","4,7948894342",2018,19.0,2.4104636349095427
"51,54135893","4,796990771",2009,27.2,2.406331614597969
"51,541381537","4,7953760852",2018,35.333333333333336,2.4104636349095427
"51,541406118","4,7951981117",2018,34.8,2.4104636349095427
"51,541424488","4,7958734625",2017,21.333333333333332,2.4104636349095427
"51,541430698","4,7950201381",2018,20.833333333333332,2.4104636349095427
"51,54143753","4,7983922074",2009,35.5,2.440076211998742
"51,5414435","4,7949275",2018,22.666666666666668,2.4104636349095427
"51,541457396","4,7971410477",2009,27.833333333333332,2.406331614597969
"51,541533721","4,7960160844",2017,15.5,2.4104636349095427
"51,541539163","4,7985403611",2009,36.666666666666664,2.440076211998742
"51,54155244","4,7949080571",2018,20.2,2.4104636349095427
"51,541555863","4,7972913244",2009,26.666666666666668,2.406331614597969
"51,541586247","4,7974858471",2009,29.333333333333332,2.3665030339595017
"51,541613032","4,7949869776",2018,22.8,2.3917017443423045
"51,54165433","4,7974416011",2009,30.0,2.3665030339595017
"51,541667241","4,7986955305",2009,43.833333333333336,2.3692663239098053
"51,541753052","4,7975917076",2009,25.333333333333332,2.3665030339595017
"51,541782565","4,7950464551",2018,18.166666666666668,2.3917017443423045
"51,541783082","4,798832861",2009,44.666666666666664,2.3692663239098053
"51,54184","4,79772",2009,29.5,2.3692663239098053
"51,541930215","4,7978753706",2009,24.833333333333332,2.3692663239098053
"51,541940765","4,7975712545",2009,22.833333333333332,2.3665030339595017
"51,541954264","4,7950985642",2018,25.5,2.3917017443423045
"51,54204153","4,7974225091",2009,24.2,2.3665030339595017
"51,542069829","4,7950571734",2018,25.5,2.3917017443423045
"51,542118182","4,7952188762",2016,14.833333333333334,2.3917017443423045
"51,542129007","4,7951403218",2016,16.0,2.3917017443423045
"51,542142295","4,7972737636",2009,21.0,2.3665030339595017
"51,54224306","4,7971250181",2009,17.0,2.3665030339595017
