cbs_grid_code,livability_score
E1068N3982,2.42390746926712
E1071N4012,2.376780302275761
E1073N4018,2.533114964672104
E1074N4011,2.4058251103923376
E1074N4017,2.502466104974352
E1075N4005,2.343563705689067
E1075N4006,2.3490739553649136
E1075N4007,2.350150020055524
E1075N4008,2.375981743604336
E1075N4009,2.4049685558642717
E1075N4011,2.3870855728086267
E1075N4015,2.4789928772993264
E1075N4016,2.471945519280706
E1075N4017,2.479012253643922
E1075N4018,2.477409805075778
E1076N3965,2.368633157562154
E1076N4005,2.342718285464996
E1076N4006,2.3107740032808697
E1076N4007,2.295785117908055
E1076N4008,2.2834425770699163
E1076N4009,2.386950377407694
E1076N4010,2.377350475134648
E1076N4011,2.385565457833273
E1076N4014,2.4772758961610992
E1076N4015,2.478177119456645
E1076N4016,2.472944359220133
E1076N4017,2.47451467074737
E1076N4018,2.466546031144265
E1076N4019,2.422918817889992
E1076N4020,2.436072220133377
E1077N4005,2.324772321123424
E1077N4006,2.269479015025916
E1077N4007,2.2824326099479118
E1077N4008,2.28284472700105
E1077N4009,2.3326691422481165
E1077N4010,2.355579006515445
E1077N4011,2.377764804369344
E1077N4014,2.4952719104308265
E1077N4015,2.4896596219128564
E1077N4016,2.476359560629243
E1077N4017,2.4751687377885934
E1077N4018,2.437080440503153
E1077N4019,2.433235137601454
E1078N4005,2.334029699920269
E1078N4006,2.2845070221349784
E1078N4007,2.2941522205663416
E1078N4008,2.2997638948622297
E1078N4009,2.307890090025841
E1078N4010,2.31501313619427
E1078N4011,2.3337789759673595
E1078N4013,2.443314433692664
E1078N4014,2.48083419288936
E1078N4016,2.465040849004955
E1078N4017,2.4686637192089984
E1078N4018,2.4275458917378048
E1079N4004,2.4148705300407154
E1079N4005,2.357945984855701
E1079N4006,2.3182236739554023
E1079N4007,2.320166344402192
E1079N4008,2.3217110831545136
E1079N4009,2.2973506812398314
E1079N4010,2.3078128703552303
E1079N4011,2.303057287839376
E1079N4012,2.344283445973971
E1079N4013,2.4028105753791547
E1079N4014,2.4332924697372165
E1079N4015,2.436029884029147
E1079N4016,2.4275870927559198
E1079N4017,2.4165263049018666
E1079N4018,2.385271119562751
E1079N4019,2.382894376640249
E1080N4004,2.485643516158065
E1080N4005,2.470427341621551
E1080N4006,2.385688437103386
E1080N4007,2.348120413158485
E1080N4008,2.318262062277418
E1080N4009,2.310139039602105
E1080N4010,2.2866552520933485
E1080N4011,2.2751484095977013
E1080N4012,2.2840789252536644
E1080N4013,2.325039028454128
E1080N4014,2.3612565747360383
E1080N4015,2.362995691010788
E1080N4016,2.3681049911311955
E1080N4017,2.3744984015529806
E1080N4018,2.341776808619768
E1080N4019,2.3523891847879
E1080N4024,2.2961319133686047
E1081N3993,2.484426726188232
E1081N3995,2.4653013413190923
E1081N4004,2.477767277585289
E1081N4005,2.463006388706261
E1081N4006,2.443184109409868
E1081N4007,2.396618720147506
E1081N4008,2.365003521426482
E1081N4009,2.302727440171414
E1081N4010,2.281086955859329
E1081N4011,2.226511797936245
E1081N4012,2.2171715972902417
E1081N4013,2.2569252630992067
E1081N4014,2.2789657466100577
E1081N4015,2.306019993262918
E1081N4016,2.3135781073856645
E1081N4017,2.3258711444242306
E1081N4018,2.330221884493485
E1081N4019,2.333086702501864
E1081N4020,2.3166170459800552
E1081N4021,2.2893696399711785
E1081N4023,2.3162082139996807
E1081N4024,2.323472287358621
E1082N3991,2.600528139939557
E1082N4005,2.460576109976357
E1082N4006,2.4352738474149724
E1082N4007,2.4065470312162747
E1082N4008,2.335170007661774
E1082N4009,2.286322617807492
E1082N4010,2.2401283360432664
E1082N4011,2.2211066243662354
E1082N4012,2.2137440867549847
E1082N4013,2.22685472090256
E1082N4014,2.225267983532333
E1082N4015,2.243366000791561
E1082N4016,2.262022946116528
E1082N4017,2.284604038276271
E1082N4018,2.3088385335463766
E1082N4019,2.309357392594784
E1082N4020,2.2963686680729003
E1082N4021,2.2745515455513914
E1082N4022,2.2555945104200217
E1082N4023,2.281954808364787
E1082N4024,2.32195327993386
E1083N4004,2.4305108272435687
E1083N4005,2.4488600472507605
E1083N4006,2.443714913216673
E1083N4007,2.3534605867544176
E1083N4008,2.26662584617175
E1083N4009,2.238193989690438
E1083N4010,2.206419090791406
E1083N4011,2.208551019256119
E1083N4012,2.217936023782696
E1083N4013,2.21541022304225
E1083N4014,2.23827759847526
E1083N4015,2.2295605642948506
E1083N4016,2.2397906255965743
