,zones,catetgory,place,within,Value
1,Bavel,Childcare,Daycare centres,Within 1 km,1.7
2,Bavel,Childcare,Daycare centres,Within 3 km,5.5
3,Bavel,Childcare,Daycare centres,Within 5 km,34.6
5,Bavel,Childcare,Out-of-school care,Within 1 km,2.0
6,Bavel,Childcare,Out-of-school care,Within 3 km,5.8
7,Bavel,Childcare,Out-of-school care,Within 5 km,32.6
10,Bavel,Education,Primary education,Within 1 km,1.8
11,Bavel,Education,Primary education,Within 3 km,2.6
12,Bavel,Education,Primary education,Within 5 km,13.7
42,Bavel,Health and well-being,General Practitioner's Practice,Within 1 km,1.4
43,Bavel,Health and well-being,General Practitioner's Practice,Within 3 km,3.5
44,Bavel,Health and well-being,General Practitioner's Practice,Within 5 km,12.4
46,Bavel,Health and well-being,Hospital (excl. outpatient clinics),Within 10 km,2.0
47,Bavel,Health and well-being,Hospital (excl. outpatient clinics),Within 20 km,4.0
48,Bavel,Health and well-being,Hospital (excl. outpatient clinics),Within 5 km,1.0
50,Bavel,Health and well-being,Hospital (incl. outpatient clinics),Within 10 km,2.0
51,Bavel,Health and well-being,Hospital (incl. outpatient clinics),Within 20 km,6.0
52,Bavel,Health and well-being,Hospital (incl. outpatient clinics),Within 5 km,1.0
58,Bavel,Hospitality,Cafes etc.,Within 1 km,1.5
59,Bavel,Hospitality,Cafes etc.,Within 3 km,3.7
60,Bavel,Hospitality,Cafes etc.,Within 5 km,35.5
62,Bavel,Hospitality,Cafeterias etc.,Within 1 km,0.8
63,Bavel,Hospitality,Cafeterias etc.,Within 3 km,2.7
64,Bavel,Hospitality,Cafeterias etc.,Within 5 km,55.6
66,Bavel,Hospitality,Hotels etc.,Within 10 5km,18.3
67,Bavel,Hospitality,Hotels etc.,Within 20 km,43.2
68,Bavel,Hospitality,Hotels etc.,Within 5 km,5.2
70,Bavel,Hospitality,Restaurants,Within 1 km,1.8
71,Bavel,Hospitality,Restaurants,Within 3 km,4.3
72,Bavel,Hospitality,Restaurants,Within 5 km,70.7
74,Bavel,Leisure and culture,Cinema,Within 10 km,3.0
75,Bavel,Leisure and culture,Cinema,Within 20 km,6.1
76,Bavel,Leisure and culture,Cinema,Within 5 km,1.8
79,Bavel,Leisure and culture,Museum,Within 10 km,1.8
80,Bavel,Leisure and culture,Museum,Within 20 km,9.8
81,Bavel,Leisure and culture,Museum,Within 5 km,0.4
84,Bavel,Leisure and culture,Performing arts (excl. festivals),Within 10 km,3.0
85,Bavel,Leisure and culture,Performing arts (excl. festivals),Within 20 km,9.0
86,Bavel,Leisure and culture,Performing arts (excl. festivals),Within 5 km,1.0
90,Bavel,Leisure and culture,Recreation,Within 10 km,6.0
91,Bavel,Leisure and culture,Recreation,Within 20 km,9.9
92,Bavel,Leisure and culture,Recreation,Within 50 km,34.2
96,Bavel,Retail,Department store,Within 10 km,5.0
97,Bavel,Retail,Department store,Within 20 km,17.6
98,Bavel,Retail,Department store,Within 5 km,1.3
101,Bavel,Retail,Grocery stores,Within 1 km,0.9
102,Bavel,Retail,Grocery stores,Within 3 km,2.5
103,Bavel,Retail,Grocery stores,Within 5 km,16.0
104,Bavel,Retail,Grocery stores,Within 1 km,6.1
105,Bavel,Retail,Grocery stores,Within 3 km,13.3
106,Bavel,Retail,Grocery stores,Within 5 km,63.2
111,Belcrum,Childcare,Daycare centres,Within 1 km,4.3
112,Belcrum,Childcare,Daycare centres,Within 3 km,32.4
113,Belcrum,Childcare,Daycare centres,Within 5 km,79.3
115,Belcrum,Childcare,Out-of-school care,Within 1 km,4.6
116,Belcrum,Childcare,Out-of-school care,Within 3 km,21.6
117,Belcrum,Childcare,Out-of-school care,Within 5 km,66.9
120,Belcrum,Education,Primary education,Within 1 km,2.1
121,Belcrum,Education,Primary education,Within 3 km,12.7
122,Belcrum,Education,Primary education,Within 5 km,33.0
152,Belcrum,Health and well-being,General Practitioner's Practice,Within 1 km,1.2
153,Belcrum,Health and well-being,General Practitioner's Practice,Within 3 km,12.1
154,Belcrum,Health and well-being,General Practitioner's Practice,Within 5 km,28.0
156,Belcrum,Health and well-being,Hospital (excl. outpatient clinics),Within 10 km,2.3
157,Belcrum,Health and well-being,Hospital (excl. outpatient clinics),Within 20 km,3.0
158,Belcrum,Health and well-being,Hospital (excl. outpatient clinics),Within 5 km,2.0
160,Belcrum,Health and well-being,Hospital (incl. outpatient clinics),Within 10 km,2.4
161,Belcrum,Health and well-being,Hospital (incl. outpatient clinics),Within 20 km,5.3
162,Belcrum,Health and well-being,Hospital (incl. outpatient clinics),Within 5 km,2.0
168,Belcrum,Hospitality,Cafes etc.,Within 1 km,5.7
169,Belcrum,Hospitality,Cafes etc.,Within 3 km,98.9
170,Belcrum,Hospitality,Cafes etc.,Within 5 km,112.6
172,Belcrum,Hospitality,Cafeterias etc.,Within 1 km,12.3
173,Belcrum,Hospitality,Cafeterias etc.,Within 3 km,128.2
174,Belcrum,Hospitality,Cafeterias etc.,Within 5 km,170.5
176,Belcrum,Hospitality,Hotels etc.,Within 10 5km,20.0
177,Belcrum,Hospitality,Hotels etc.,Within 20 km,43.8
178,Belcrum,Hospitality,Hotels etc.,Within 5 km,15.3
180,Belcrum,Hospitality,Restaurants,Within 1 km,8.0
181,Belcrum,Hospitality,Restaurants,Within 3 km,147.5
182,Belcrum,Hospitality,Restaurants,Within 5 km,187.3
184,Belcrum,Leisure and culture,Cinema,Within 10 km,3.0
185,Belcrum,Leisure and culture,Cinema,Within 20 km,4.0
186,Belcrum,Leisure and culture,Cinema,Within 5 km,2.0
189,Belcrum,Leisure and culture,Museum,Within 10 km,3.2
190,Belcrum,Leisure and culture,Museum,Within 20 km,9.9
191,Belcrum,Leisure and culture,Museum,Within 5 km,1.0
194,Belcrum,Leisure and culture,Performing arts (excl. festivals),Within 10 km,4.0
195,Belcrum,Leisure and culture,Performing arts (excl. festivals),Within 20 km,6.9
196,Belcrum,Leisure and culture,Performing arts (excl. festivals),Within 5 km,2.0
200,Belcrum,Leisure and culture,Recreation,Within 10 km,5.1
201,Belcrum,Leisure and culture,Recreation,Within 20 km,10.0
202,Belcrum,Leisure and culture,Recreation,Within 50 km,41.8
206,Belcrum,Retail,Department store,Within 10 km,7.0
207,Belcrum,Retail,Department store,Within 20 km,15.3
208,Belcrum,Retail,Department store,Within 5 km,5.0
211,Belcrum,Retail,Grocery stores,Within 1 km,3.9
212,Belcrum,Retail,Grocery stores,Within 3 km,26.4
213,Belcrum,Retail,Grocery stores,Within 5 km,42.8
214,Belcrum,Retail,Grocery stores,Within 1 km,7.1
215,Belcrum,Retail,Grocery stores,Within 3 km,104.8
216,Belcrum,Retail,Grocery stores,Within 5 km,167.9
221,Biesdonk,Childcare,Daycare centres,Within 1 km,3.0
222,Biesdonk,Childcare,Daycare centres,Within 3 km,17.5
223,Biesdonk,Childcare,Daycare centres,Within 5 km,60.2
225,Biesdonk,Childcare,Out-of-school care,Within 1 km,2.0
226,Biesdonk,Childcare,Out-of-school care,Within 3 km,13.1
227,Biesdonk,Childcare,Out-of-school care,Within 5 km,50.7
230,Biesdonk,Education,Primary education,Within 1 km,2.9
231,Biesdonk,Education,Primary education,Within 3 km,9.2
232,Biesdonk,Education,Primary education,Within 5 km,29.0
262,Biesdonk,Health and well-being,General Practitioner's Practice,Within 1 km,2.1
263,Biesdonk,Health and well-being,General Practitioner's Practice,Within 3 km,7.5
264,Biesdonk,Health and well-being,General Practitioner's Practice,Within 5 km,24.8
266,Biesdonk,Health and well-being,Hospital (excl. outpatient clinics),Within 10 km,2.8
267,Biesdonk,Health and well-being,Hospital (excl. outpatient clinics),Within 20 km,3.0
268,Biesdonk,Health and well-being,Hospital (excl. outpatient clinics),Within 5 km,1.3
270,Biesdonk,Health and well-being,Hospital (incl. outpatient clinics),Within 10 km,2.8
271,Biesdonk,Health and well-being,Hospital (incl. outpatient clinics),Within 20 km,5.0
272,Biesdonk,Health and well-being,Hospital (incl. outpatient clinics),Within 5 km,1.3
278,Biesdonk,Hospitality,Cafes etc.,Within 1 km,0.2
279,Biesdonk,Hospitality,Cafes etc.,Within 3 km,49.4
280,Biesdonk,Hospitality,Cafes etc.,Within 5 km,106.6
282,Biesdonk,Hospitality,Cafeterias etc.,Within 1 km,3.5
283,Biesdonk,Hospitality,Cafeterias etc.,Within 3 km,71.0
284,Biesdonk,Hospitality,Cafeterias etc.,Within 5 km,150.1
286,Biesdonk,Hospitality,Hotels etc.,Within 10 5km,19.6
287,Biesdonk,Hospitality,Hotels etc.,Within 20 km,42.1
288,Biesdonk,Hospitality,Hotels etc.,Within 5 km,12.7
290,Biesdonk,Hospitality,Restaurants,Within 1 km,2.6
291,Biesdonk,Hospitality,Restaurants,Within 3 km,72.8
292,Biesdonk,Hospitality,Restaurants,Within 5 km,174.0
294,Biesdonk,Leisure and culture,Cinema,Within 10 km,3.0
295,Biesdonk,Leisure and culture,Cinema,Within 20 km,4.0
296,Biesdonk,Leisure and culture,Cinema,Within 5 km,2.0
299,Biesdonk,Leisure and culture,Museum,Within 10 km,3.0
300,Biesdonk,Leisure and culture,Museum,Within 20 km,8.4
301,Biesdonk,Leisure and culture,Museum,Within 5 km,1.0
304,Biesdonk,Leisure and culture,Performing arts (excl. festivals),Within 10 km,4.0
305,Biesdonk,Leisure and culture,Performing arts (excl. festivals),Within 20 km,6.0
306,Biesdonk,Leisure and culture,Performing arts (excl. festivals),Within 5 km,2.0
310,Biesdonk,Leisure and culture,Recreation,Within 10 km,5.4
311,Biesdonk,Leisure and culture,Recreation,Within 20 km,10.0
312,Biesdonk,Leisure and culture,Recreation,Within 50 km,41.8
316,Biesdonk,Retail,Department store,Within 10 km,7.3
317,Biesdonk,Retail,Department store,Within 20 km,15.0
318,Biesdonk,Retail,Department store,Within 5 km,3.5
321,Biesdonk,Retail,Grocery stores,Within 1 km,3.0
322,Biesdonk,Retail,Grocery stores,Within 3 km,14.0
323,Biesdonk,Retail,Grocery stores,Within 5 km,36.2
324,Biesdonk,Retail,Grocery stores,Within 1 km,15.3
325,Biesdonk,Retail,Grocery stores,Within 3 km,53.4
326,Biesdonk,Retail,Grocery stores,Within 5 km,143.6
331,Blauwe Kei,Childcare,Daycare centres,Within 1 km,5.9
332,Blauwe Kei,Childcare,Daycare centres,Within 3 km,34.3
333,Blauwe Kei,Childcare,Daycare centres,Within 5 km,68.0
335,Blauwe Kei,Childcare,Out-of-school care,Within 1 km,6.9
336,Blauwe Kei,Childcare,Out-of-school care,Within 3 km,29.3
337,Blauwe Kei,Childcare,Out-of-school care,Within 5 km,57.4
340,Blauwe Kei,Education,Primary education,Within 1 km,2.3
341,Blauwe Kei,Education,Primary education,Within 3 km,11.3
342,Blauwe Kei,Education,Primary education,Within 5 km,29.6
372,Blauwe Kei,Health and well-being,General Practitioner's Practice,Within 1 km,2.8
373,Blauwe Kei,Health and well-being,General Practitioner's Practice,Within 3 km,12.1
374,Blauwe Kei,Health and well-being,General Practitioner's Practice,Within 5 km,25.3
376,Blauwe Kei,Health and well-being,Hospital (excl. outpatient clinics),Within 10 km,2.0
377,Blauwe Kei,Health and well-being,Hospital (excl. outpatient clinics),Within 20 km,3.0
378,Blauwe Kei,Health and well-being,Hospital (excl. outpatient clinics),Within 5 km,2.0
380,Blauwe Kei,Health and well-being,Hospital (incl. outpatient clinics),Within 10 km,2.0
381,Blauwe Kei,Health and well-being,Hospital (incl. outpatient clinics),Within 20 km,5.0
382,Blauwe Kei,Health and well-being,Hospital (incl. outpatient clinics),Within 5 km,2.0
388,Blauwe Kei,Hospitality,Cafes etc.,Within 1 km,2.9
389,Blauwe Kei,Hospitality,Cafes etc.,Within 3 km,84.5
390,Blauwe Kei,Hospitality,Cafes etc.,Within 5 km,117.2
392,Blauwe Kei,Hospitality,Cafeterias etc.,Within 1 km,6.1
393,Blauwe Kei,Hospitality,Cafeterias etc.,Within 3 km,110.0
394,Blauwe Kei,Hospitality,Cafeterias etc.,Within 5 km,166.9
396,Blauwe Kei,Hospitality,Hotels etc.,Within 10 5km,18.1
397,Blauwe Kei,Hospitality,Hotels etc.,Within 20 km,43.1
398,Blauwe Kei,Hospitality,Hotels etc.,Within 5 km,15.1
400,Blauwe Kei,Hospitality,Restaurants,Within 1 km,6.5
401,Blauwe Kei,Hospitality,Restaurants,Within 3 km,140.4
402,Blauwe Kei,Hospitality,Restaurants,Within 5 km,195.1
404,Blauwe Kei,Leisure and culture,Cinema,Within 10 km,3.0
405,Blauwe Kei,Leisure and culture,Cinema,Within 20 km,4.0
406,Blauwe Kei,Leisure and culture,Cinema,Within 5 km,3.0
409,Blauwe Kei,Leisure and culture,Museum,Within 10 km,2.0
410,Blauwe Kei,Leisure and culture,Museum,Within 20 km,8.9
411,Blauwe Kei,Leisure and culture,Museum,Within 5 km,1.0
414,Blauwe Kei,Leisure and culture,Performing arts (excl. festivals),Within 10 km,3.1
415,Blauwe Kei,Leisure and culture,Performing arts (excl. festivals),Within 20 km,6.0
416,Blauwe Kei,Leisure and culture,Performing arts (excl. festivals),Within 5 km,2.0
420,Blauwe Kei,Leisure and culture,Recreation,Within 10 km,6.2
421,Blauwe Kei,Leisure and culture,Recreation,Within 20 km,10.0
422,Blauwe Kei,Leisure and culture,Recreation,Within 50 km,35.6
426,Blauwe Kei,Retail,Department store,Within 10 km,7.0
427,Blauwe Kei,Retail,Department store,Within 20 km,15.9
428,Blauwe Kei,Retail,Department store,Within 5 km,3.8
431,Blauwe Kei,Retail,Grocery stores,Within 1 km,2.2
432,Blauwe Kei,Retail,Grocery stores,Within 3 km,21.6
433,Blauwe Kei,Retail,Grocery stores,Within 5 km,40.7
434,Blauwe Kei,Retail,Grocery stores,Within 1 km,10.6
435,Blauwe Kei,Retail,Grocery stores,Within 3 km,94.3
436,Blauwe Kei,Retail,Grocery stores,Within 5 km,163.7
441,Boeimeer,Childcare,Daycare centres,Within 1 km,6.5
442,Boeimeer,Childcare,Daycare centres,Within 3 km,41.0
443,Boeimeer,Childcare,Daycare centres,Within 5 km,68.4
445,Boeimeer,Childcare,Out-of-school care,Within 1 km,5.5
446,Boeimeer,Childcare,Out-of-school care,Within 3 km,35.6
447,Boeimeer,Childcare,Out-of-school care,Within 5 km,59.0
450,Boeimeer,Education,Primary education,Within 1 km,2.9
451,Boeimeer,Education,Primary education,Within 3 km,14.1
452,Boeimeer,Education,Primary education,Within 5 km,27.9
482,Boeimeer,Health and well-being,General Practitioner's Practice,Within 1 km,2.0
483,Boeimeer,Health and well-being,General Practitioner's Practice,Within 3 km,13.6
484,Boeimeer,Health and well-being,General Practitioner's Practice,Within 5 km,27.1
486,Boeimeer,Health and well-being,Hospital (excl. outpatient clinics),Within 10 km,2.0
487,Boeimeer,Health and well-being,Hospital (excl. outpatient clinics),Within 20 km,3.0
488,Boeimeer,Health and well-being,Hospital (excl. outpatient clinics),Within 5 km,2.0
490,Boeimeer,Health and well-being,Hospital (incl. outpatient clinics),Within 10 km,4.0
491,Boeimeer,Health and well-being,Hospital (incl. outpatient clinics),Within 20 km,6.0
492,Boeimeer,Health and well-being,Hospital (incl. outpatient clinics),Within 5 km,2.0
498,Boeimeer,Hospitality,Cafes etc.,Within 1 km,6.0
499,Boeimeer,Hospitality,Cafes etc.,Within 3 km,106.1
500,Boeimeer,Hospitality,Cafes etc.,Within 5 km,114.9
502,Boeimeer,Hospitality,Cafeterias etc.,Within 1 km,12.9
503,Boeimeer,Hospitality,Cafeterias etc.,Within 3 km,134.5
504,Boeimeer,Hospitality,Cafeterias etc.,Within 5 km,171.3
506,Boeimeer,Hospitality,Hotels etc.,Within 10 5km,20.1
507,Boeimeer,Hospitality,Hotels etc.,Within 20 km,43.5
508,Boeimeer,Hospitality,Hotels etc.,Within 5 km,14.2
510,Boeimeer,Hospitality,Restaurants,Within 1 km,18.3
511,Boeimeer,Hospitality,Restaurants,Within 3 km,158.8
512,Boeimeer,Hospitality,Restaurants,Within 5 km,193.5
514,Boeimeer,Leisure and culture,Cinema,Within 10 km,3.0
515,Boeimeer,Leisure and culture,Cinema,Within 20 km,4.0
516,Boeimeer,Leisure and culture,Cinema,Within 5 km,2.3
519,Boeimeer,Leisure and culture,Museum,Within 10 km,3.0
520,Boeimeer,Leisure and culture,Museum,Within 20 km,10.0
521,Boeimeer,Leisure and culture,Museum,Within 5 km,1.0
524,Boeimeer,Leisure and culture,Performing arts (excl. festivals),Within 10 km,3.3
525,Boeimeer,Leisure and culture,Performing arts (excl. festivals),Within 20 km,7.0
526,Boeimeer,Leisure and culture,Performing arts (excl. festivals),Within 5 km,2.0
530,Boeimeer,Leisure and culture,Recreation,Within 10 km,5.7
531,Boeimeer,Leisure and culture,Recreation,Within 20 km,10.0
532,Boeimeer,Leisure and culture,Recreation,Within 50 km,38.3
536,Boeimeer,Retail,Department store,Within 10 km,6.3
537,Boeimeer,Retail,Department store,Within 20 km,16.0
538,Boeimeer,Retail,Department store,Within 5 km,3.9
541,Boeimeer,Retail,Grocery stores,Within 1 km,3.8
542,Boeimeer,Retail,Grocery stores,Within 3 km,27.0
543,Boeimeer,Retail,Grocery stores,Within 5 km,39.8
544,Boeimeer,Retail,Grocery stores,Within 1 km,17.0
545,Boeimeer,Retail,Grocery stores,Within 3 km,106.0
546,Boeimeer,Retail,Grocery stores,Within 5 km,157.3
551,Brabantpark,Childcare,Daycare centres,Within 1 km,3.7
552,Brabantpark,Childcare,Daycare centres,Within 3 km,35.5
553,Brabantpark,Childcare,Daycare centres,Within 5 km,70.2
555,Brabantpark,Childcare,Out-of-school care,Within 1 km,1.6
556,Brabantpark,Childcare,Out-of-school care,Within 3 km,28.0
557,Brabantpark,Childcare,Out-of-school care,Within 5 km,61.1
560,Brabantpark,Education,Primary education,Within 1 km,0.7
561,Brabantpark,Education,Primary education,Within 3 km,16.9
562,Brabantpark,Education,Primary education,Within 5 km,29.8
592,Brabantpark,Health and well-being,General Practitioner's Practice,Within 1 km,1.7
593,Brabantpark,Health and well-being,General Practitioner's Practice,Within 3 km,13.5
594,Brabantpark,Health and well-being,General Practitioner's Practice,Within 5 km,26.4
596,Brabantpark,Health and well-being,Hospital (excl. outpatient clinics),Within 10 km,3.0
597,Brabantpark,Health and well-being,Hospital (excl. outpatient clinics),Within 20 km,3.2
598,Brabantpark,Health and well-being,Hospital (excl. outpatient clinics),Within 5 km,1.9
600,Brabantpark,Health and well-being,Hospital (incl. outpatient clinics),Within 10 km,3.0
601,Brabantpark,Health and well-being,Hospital (incl. outpatient clinics),Within 20 km,5.2
602,Brabantpark,Health and well-being,Hospital (incl. outpatient clinics),Within 5 km,1.9
608,Brabantpark,Hospitality,Cafes etc.,Within 1 km,2.1
609,Brabantpark,Hospitality,Cafes etc.,Within 3 km,84.3
610,Brabantpark,Hospitality,Cafes etc.,Within 5 km,113.3
612,Brabantpark,Hospitality,Cafeterias etc.,Within 1 km,7.1
613,Brabantpark,Hospitality,Cafeterias etc.,Within 3 km,114.0
614,Brabantpark,Hospitality,Cafeterias etc.,Within 5 km,162.8
616,Brabantpark,Hospitality,Hotels etc.,Within 10 5km,19.0
617,Brabantpark,Hospitality,Hotels etc.,Within 20 km,43.5
618,Brabantpark,Hospitality,Hotels etc.,Within 5 km,14.0
620,Brabantpark,Hospitality,Restaurants,Within 1 km,6.9
621,Brabantpark,Hospitality,Restaurants,Within 3 km,131.8
622,Brabantpark,Hospitality,Restaurants,Within 5 km,186.4
624,Brabantpark,Leisure and culture,Cinema,Within 10 km,3.0
625,Brabantpark,Leisure and culture,Cinema,Within 20 km,4.1
626,Brabantpark,Leisure and culture,Cinema,Within 5 km,3.0
629,Brabantpark,Leisure and culture,Museum,Within 10 km,3.0
630,Brabantpark,Leisure and culture,Museum,Within 20 km,8.6
631,Brabantpark,Leisure and culture,Museum,Within 5 km,1.1
634,Brabantpark,Leisure and culture,Performing arts (excl. festivals),Within 10 km,4.0
635,Brabantpark,Leisure and culture,Performing arts (excl. festivals),Within 20 km,6.4
636,Brabantpark,Leisure and culture,Performing arts (excl. festivals),Within 5 km,2.0
640,Brabantpark,Leisure and culture,Recreation,Within 10 km,6.0
641,Brabantpark,Leisure and culture,Recreation,Within 20 km,10.3
642,Brabantpark,Leisure and culture,Recreation,Within 50 km,38.0
646,Brabantpark,Retail,Department store,Within 10 km,8.0
647,Brabantpark,Retail,Department store,Within 20 km,15.9
648,Brabantpark,Retail,Department store,Within 5 km,3.4
651,Brabantpark,Retail,Grocery stores,Within 1 km,2.5
652,Brabantpark,Retail,Grocery stores,Within 3 km,21.9
653,Brabantpark,Retail,Grocery stores,Within 5 km,39.4
654,Brabantpark,Retail,Grocery stores,Within 1 km,10.1
655,Brabantpark,Retail,Grocery stores,Within 3 km,98.2
656,Brabantpark,Retail,Grocery stores,Within 5 km,157.7
661,Buitengebied Bavel,Childcare,Daycare centres,Within 1 km,0.2
662,Buitengebied Bavel,Childcare,Daycare centres,Within 3 km,6.2
663,Buitengebied Bavel,Childcare,Daycare centres,Within 5 km,25.5
665,Buitengebied Bavel,Childcare,Out-of-school care,Within 1 km,0.1
666,Buitengebied Bavel,Childcare,Out-of-school care,Within 3 km,6.4
667,Buitengebied Bavel,Childcare,Out-of-school care,Within 5 km,24.8
670,Buitengebied Bavel,Education,Primary education,Within 1 km,0.1
671,Buitengebied Bavel,Education,Primary education,Within 3 km,3.3
672,Buitengebied Bavel,Education,Primary education,Within 5 km,10.7
702,Buitengebied Bavel,Health and well-being,General Practitioner's Practice,Within 1 km,0.1
703,Buitengebied Bavel,Health and well-being,General Practitioner's Practice,Within 3 km,3.1
704,Buitengebied Bavel,Health and well-being,General Practitioner's Practice,Within 5 km,9.7
706,Buitengebied Bavel,Health and well-being,Hospital (excl. outpatient clinics),Within 10 km,2.1
707,Buitengebied Bavel,Health and well-being,Hospital (excl. outpatient clinics),Within 20 km,4.1
708,Buitengebied Bavel,Health and well-being,Hospital (excl. outpatient clinics),Within 5 km,0.9
710,Buitengebied Bavel,Health and well-being,Hospital (incl. outpatient clinics),Within 10 km,2.1
711,Buitengebied Bavel,Health and well-being,Hospital (incl. outpatient clinics),Within 20 km,6.1
712,Buitengebied Bavel,Health and well-being,Hospital (incl. outpatient clinics),Within 5 km,0.9
718,Buitengebied Bavel,Hospitality,Cafes etc.,Within 1 km,0.3
719,Buitengebied Bavel,Hospitality,Cafes etc.,Within 3 km,3.7
720,Buitengebied Bavel,Hospitality,Cafes etc.,Within 5 km,29.6
722,Buitengebied Bavel,Hospitality,Cafeterias etc.,Within 1 km,0.0
723,Buitengebied Bavel,Hospitality,Cafeterias etc.,Within 3 km,4.0
724,Buitengebied Bavel,Hospitality,Cafeterias etc.,Within 5 km,40.9
726,Buitengebied Bavel,Hospitality,Hotels etc.,Within 10 5km,17.7
727,Buitengebied Bavel,Hospitality,Hotels etc.,Within 20 km,44.0
728,Buitengebied Bavel,Hospitality,Hotels etc.,Within 5 km,4.8
730,Buitengebied Bavel,Hospitality,Restaurants,Within 1 km,0.7
731,Buitengebied Bavel,Hospitality,Restaurants,Within 3 km,5.4
732,Buitengebied Bavel,Hospitality,Restaurants,Within 5 km,52.0
734,Buitengebied Bavel,Leisure and culture,Cinema,Within 10 km,3.0
735,Buitengebied Bavel,Leisure and culture,Cinema,Within 20 km,6.4
736,Buitengebied Bavel,Leisure and culture,Cinema,Within 5 km,1.0
739,Buitengebied Bavel,Leisure and culture,Museum,Within 10 km,1.9
740,Buitengebied Bavel,Leisure and culture,Museum,Within 20 km,10.0
741,Buitengebied Bavel,Leisure and culture,Museum,Within 5 km,0.2
744,Buitengebied Bavel,Leisure and culture,Performing arts (excl. festivals),Within 10 km,3.0
745,Buitengebied Bavel,Leisure and culture,Performing arts (excl. festivals),Within 20 km,9.9
746,Buitengebied Bavel,Leisure and culture,Performing arts (excl. festivals),Within 5 km,0.5
750,Buitengebied Bavel,Leisure and culture,Recreation,Within 10 km,5.7
751,Buitengebied Bavel,Leisure and culture,Recreation,Within 20 km,10.0
752,Buitengebied Bavel,Leisure and culture,Recreation,Within 50 km,35.6
756,Buitengebied Bavel,Retail,Department store,Within 10 km,5.5
757,Buitengebied Bavel,Retail,Department store,Within 20 km,17.5
758,Buitengebied Bavel,Retail,Department store,Within 5 km,1.0
761,Buitengebied Bavel,Retail,Grocery stores,Within 1 km,0.1
762,Buitengebied Bavel,Retail,Grocery stores,Within 3 km,2.7
763,Buitengebied Bavel,Retail,Grocery stores,Within 5 km,11.7
764,Buitengebied Bavel,Retail,Grocery stores,Within 1 km,0.7
765,Buitengebied Bavel,Retail,Grocery stores,Within 3 km,12.5
766,Buitengebied Bavel,Retail,Grocery stores,Within 5 km,49.7
771,Buitengebied Prinsenbeek,Childcare,Daycare centres,Within 1 km,0.2
772,Buitengebied Prinsenbeek,Childcare,Daycare centres,Within 3 km,5.6
773,Buitengebied Prinsenbeek,Childcare,Daycare centres,Within 5 km,14.7
775,Buitengebied Prinsenbeek,Childcare,Out-of-school care,Within 1 km,0.3
776,Buitengebied Prinsenbeek,Childcare,Out-of-school care,Within 3 km,4.9
777,Buitengebied Prinsenbeek,Childcare,Out-of-school care,Within 5 km,12.9
780,Buitengebied Prinsenbeek,Education,Primary education,Within 1 km,0.0
781,Buitengebied Prinsenbeek,Education,Primary education,Within 3 km,1.9
782,Buitengebied Prinsenbeek,Education,Primary education,Within 5 km,6.2
812,Buitengebied Prinsenbeek,Health and well-being,General Practitioner's Practice,Within 1 km,0.0
813,Buitengebied Prinsenbeek,Health and well-being,General Practitioner's Practice,Within 3 km,0.7
814,Buitengebied Prinsenbeek,Health and well-being,General Practitioner's Practice,Within 5 km,3.1
816,Buitengebied Prinsenbeek,Health and well-being,Hospital (excl. outpatient clinics),Within 10 km,1.8
817,Buitengebied Prinsenbeek,Health and well-being,Hospital (excl. outpatient clinics),Within 20 km,3.0
818,Buitengebied Prinsenbeek,Health and well-being,Hospital (excl. outpatient clinics),Within 5 km,0.0
820,Buitengebied Prinsenbeek,Health and well-being,Hospital (incl. outpatient clinics),Within 10 km,3.8
821,Buitengebied Prinsenbeek,Health and well-being,Hospital (incl. outpatient clinics),Within 20 km,6.0
822,Buitengebied Prinsenbeek,Health and well-being,Hospital (incl. outpatient clinics),Within 5 km,0.2
828,Buitengebied Prinsenbeek,Hospitality,Cafes etc.,Within 1 km,0.1
829,Buitengebied Prinsenbeek,Hospitality,Cafes etc.,Within 3 km,4.8
830,Buitengebied Prinsenbeek,Hospitality,Cafes etc.,Within 5 km,9.5
832,Buitengebied Prinsenbeek,Hospitality,Cafeterias etc.,Within 1 km,0.0
833,Buitengebied Prinsenbeek,Hospitality,Cafeterias etc.,Within 3 km,3.2
834,Buitengebied Prinsenbeek,Hospitality,Cafeterias etc.,Within 5 km,13.1
836,Buitengebied Prinsenbeek,Hospitality,Hotels etc.,Within 10 5km,21.2
837,Buitengebied Prinsenbeek,Hospitality,Hotels etc.,Within 20 km,38.9
838,Buitengebied Prinsenbeek,Hospitality,Hotels etc.,Within 5 km,1.8
840,Buitengebied Prinsenbeek,Hospitality,Restaurants,Within 1 km,0.1
841,Buitengebied Prinsenbeek,Hospitality,Restaurants,Within 3 km,5.5
842,Buitengebied Prinsenbeek,Hospitality,Restaurants,Within 5 km,16.6
844,Buitengebied Prinsenbeek,Leisure and culture,Cinema,Within 10 km,2.9
845,Buitengebied Prinsenbeek,Leisure and culture,Cinema,Within 20 km,4.0
846,Buitengebied Prinsenbeek,Leisure and culture,Cinema,Within 5 km,0.0
849,Buitengebied Prinsenbeek,Leisure and culture,Museum,Within 10 km,2.9
850,Buitengebied Prinsenbeek,Leisure and culture,Museum,Within 20 km,9.8
851,Buitengebied Prinsenbeek,Leisure and culture,Museum,Within 5 km,0.3
854,Buitengebied Prinsenbeek,Leisure and culture,Performing arts (excl. festivals),Within 10 km,3.0
